date,method,entry_price,stop_price,target_price,outcome,r_multiple
2024-04-25,BASELINE_BREAKOUT,2340.9,2337.3,2346.3,LOSS,-1.0
2024-05-14,BASELINE_BREAKOUT,2345.5,2343.5,2348.5,LOSS,-1.0
2024-06-14,BASELINE_BREAKOUT,2334.5,2330.0,2341.25,WIN,1.5
2024-07-26,BASELINE_BREAKOUT,2369.9,2372.7,2365.7000000000007,LOSS,-1.0
2024-09-03,BASELINE_BREAKOUT,2535.4,2532.8,2539.3,LOSS,-1.0
2024-09-05,BASELINE_BREAKOUT,2538.6,2536.2,2542.2,WIN,1.5
2024-09-09,BASELINE_BREAKOUT,2523.2,2524.5,2521.2499999999995,LOSS,-1.0
2024-09-13,BASELINE_BREAKOUT,2595.4,2599.2,2589.7000000000007,LOSS,-1.0
2024-09-26,BASELINE_BREAKOUT,2689.7,2687.6,2692.8499999999995,WIN,1.5
2024-11-15,BASELINE_BREAKOUT,2567.4,2571.5,2561.25,LOSS,-1.0
2024-11-21,BASELINE_BREAKOUT,2664.4,2666.6,2661.1000000000004,LOSS,-1.0
2025-02-05,BASELINE_BREAKOUT,2892.2,2889.7,2895.95,WIN,1.5
2025-02-07,BASELINE_BREAKOUT,2889.9,2887.0,2894.25,LOSS,-1.0
2025-02-19,BASELINE_BREAKOUT,2953.3,2951.6,2955.8500000000004,WIN,1.5
2025-03-12,BASELINE_BREAKOUT,2921.2,2919.2,2924.2,WIN,1.5
2025-03-14,BASELINE_BREAKOUT,3002.2,2998.7,3007.45,WIN,1.5
2025-04-29,BASELINE_BREAKOUT,3329.2,3335.0,3320.4999999999995,WIN,1.5
2025-06-10,BASELINE_BREAKOUT,3348.1,3351.4,3343.1499999999996,LOSS,-1.0
2025-06-24,BASELINE_BREAKOUT,3340.6,3346.4,3331.8999999999996,WIN,1.5
2025-09-04,BASELINE_BREAKOUT,3604.1,3599.6,3610.85,LOSS,-1.0
2025-09-26,BASELINE_BREAKOUT,3779.8,3776.7,3784.4500000000007,WIN,1.5
2025-10-03,BASELINE_BREAKOUT,3888.2,3886.5,3890.7499999999995,LOSS,-1.0
2025-10-31,BASELINE_BREAKOUT,4037.5,4030.2,4048.4500000000003,LOSS,-1.0
2025-11-03,BASELINE_BREAKOUT,4034.6,4038.3,4029.0499999999993,WIN,1.5
2025-11-05,BASELINE_BREAKOUT,3994.6,3982.0,4013.5,LOSS,-1.0
2025-11-26,BASELINE_BREAKOUT,4198.7,4191.1,4210.0999999999985,LOSS,-1.0
2025-12-01,BASELINE_BREAKOUT,4284.9,4278.1,4295.0999999999985,LOSS,-1.0
2025-12-23,BASELINE_BREAKOUT,4521.5,4517.2,4527.950000000001,LOSS,-1.0
