date,outcome,r_multiple
2024-06-24,WIN,2.0000000000003135
2024-07-17,LOSS,-1.0
2024-09-16,LOSS,-1.0
2024-10-11,WIN,1.1132075471697045
2024-10-17,WIN,1.4814814814814565
2024-11-01,LOSS,-1.1842105263158036
2024-11-05,WIN,1.3636363636363356
2025-06-17,WIN,0.5555555555555618
2025-08-28,WIN,0.5514018691588729
2025-09-12,WIN,0.4705882352940783
2025-09-19,WIN,1.0566037735849405
2025-09-26,WIN,0.1888111888111737
2025-11-05,LOSS,-1.0
2025-11-11,WIN,0.3238095238094892
2025-12-26,WIN,0.886792452830124
2026-01-06,LOSS,-1.0
