orb,delay_bars,trades,wr,avg_r,total_r
0900,0,503,43.141153081510936,-0.13717693836978131,-69.0
1000,0,481,23.492723492723496,-0.060291060291060294,-29.0
1100,0,497,46.478873239436616,-0.07042253521126761,-35.0
1800,0,469,30.49040511727079,-0.08528784648187633,-40.0
2300,0,457,3.50109409190372,-0.824945295404814,-377.0
0030,0,396,4.040404040404041,-0.797979797979798,-316.0
0900,1,491,53.15682281059063,0.06313645621181263,31.0
1000,1,463,26.997840172786177,0.07991360691144708,37.0
1100,1,477,51.36268343815513,0.027253668763102725,13.0
1800,1,443,33.40857787810384,0.002257336343115124,1.0
2300,1,391,6.649616368286446,-0.6675191815856778,-261.0
0030,1,364,8.241758241758241,-0.5879120879120879,-214.0
0900,2,479,49.06054279749478,-0.018789144050104383,-9.0
1000,2,431,24.129930394431554,-0.03480278422273782,-15.0
1100,2,447,46.085011185682326,-0.07829977628635347,-35.0
1800,2,422,31.04265402843602,-0.06872037914691943,-29.0
2300,2,364,6.318681318681318,-0.6840659340659341,-249.0
0030,2,344,6.686046511627906,-0.6656976744186046,-229.0
